"","game_str","game_id","play_id","timestamp","field_x","field_y","distance_from_1st_base_ft"
"1","1900_05_TeamKK_TeamB",5,56,2231071,41.5797,85.6737,30.5628703458952
"2","1900_05_TeamKK_TeamB",5,218,8285596,47.3886,82.0917,24.0155193749792
"3","1900_08_TeamKL_TeamB",8,270,10234600,30.4584,99,47.8928278822623
"4","1901_02_TeamLG_TeamA3",11,99,4237096,39.8235,86.6019,32.4550748552518
"5","1901_02_TeamLG_TeamA3",11,227,8791992,49.5582,80.9127,21.7401400301378
"6","1901_02_TeamLG_TeamA3",11,282,10906890,41.2704,85.1508,30.4058781290723
"7","1901_05_TeamLI_TeamA3",14,12,306255,45.3867,82.8504,25.9011779857596
"8","1901_05_TeamLI_TeamA3",14,12,306255,45.3867,82.8504,25.9011779857596
"9","1901_05_TeamLI_TeamA3",14,81,2537253,42.297,85.5834,30.0041192598616
"10","1901_07_TeamLK_TeamB",16,122,4257900,41.4036,86.6199,31.37150976555
"11","1901_09_TeamLK_TeamB",18,64,2468333,39.6351,88.5459,33.9862450826801
"12","1901_09_TeamLK_TeamB",18,145,5581430,40.8861,84.5868,30.2859031803577
"13","1901_10_TeamLJ_TeamB",19,81,2923564,43.8102,84.4968,28.1797981944513
"14","1901_10_TeamLJ_TeamB",19,207,8500308,48.0711,78.8079,21.1146625267846
"15","1901_11_TeamLJ_TeamB",20,39,1185795,38.8413,90.1092,35.6752401299557
"16","1901_11_TeamLJ_TeamB",20,119,4218242,38.1903,86.6799,33.6824457262236
"17","1901_11_TeamLJ_TeamB",20,152,5669341,40.3239,87.1386,32.4894257439247
"18","1901_11_TeamLJ_TeamB",20,174,6470940,37.0686,91.7004,38.0451584583374
"19","1901_12_TeamLJ_TeamB",21,189,6544491,43.1847,88.1511,31.3685573990899
"20","1901_13_TeamLL_TeamB",22,152,4840221,46.2828,83.8344,26.0636127810402
"21","1901_14_TeamLL_TeamB",23,75,2563649,45.2928,81.7248,25.1428531968828
"22","1901_14_TeamLL_TeamB",23,134,4736747,43.8063,83.5653,27.5001877044503
"23","1901_15_TeamLL_TeamB",24,51,1742070,44.6724,83.2713,26.6936174665406
"24","1901_16_TeamLH_TeamA3",25,87,2982124,40.3458,86.6229,32.1031159554645
"25","1901_16_TeamLH_TeamA3",25,100,3435024,39.8214,86.2722,32.2241500555096
"26","1901_17_TeamLH_TeamA3",26,18,449794,38.2344,91.7208,37.2831917088653
"27","1901_17_TeamLH_TeamA3",26,46,1380789,40.4523,87.2142,32.455760427542
"28","1901_17_TeamLH_TeamA3",26,281,9702531,43.4496,81.3801,26.22217947025
"29","1901_18_TeamLH_TeamA3",27,19,499853,48.1719,81.0948,22.7482461884428
"30","1901_18_TeamLH_TeamA3",27,259,8928695,41.8047,84.4347,29.5219265323251
"31","1902_01_TeamMG_TeamA3",28,125,3878043,4.809,123.4929,83.310791854417
